,EUI,Score
698,94.0,45
699,103.3,32
700,92.9,54
701,141.3,11
702,72.5,67
703,96.9,54
704,94.8,58
705,114.6,41
706,103.1,49
707,104.2,51
708,115.7,30
709,71.3,76
710,102.3,60
711,134.7,4
712,114.6,15
713,125.8,38
714,76.1,79
715,140.1,26
716,77.7,81
717,92.2,45
718,93.1,56
719,89.7,72
720,128.6,17
721,66.4,90
722,108.6,35
723,98.4,35
724,113.2,15
725,91.9,48
726,78.9,85
727,63.1,90
728,83.0,71
729,121.6,34
730,141.2,22
731,96.8,58
732,96.1,85
733,113.7,33
734,71.9,80
735,95.6,31
736,77.6,82
737,110.2,37
738,78.9,73
739,86.1,68
740,108.9,39
741,92.0,35
742,83.4,75
743,123.9,26
744,117.4,43
745,86.5,52
746,66.3,78
747,118.6,29
748,104.1,33
749,109.6,25
750,120.2,54
751,72.8,84
752,80.5,62
753,86.8,62
754,80.0,85
755,94.4,32
756,76.0,76
757,55.4,84
758,105.8,60
759,93.4,39
760,41.3,88
761,85.1,20
762,101.1,29
763,79.1,64
764,59.3,89
765,72.5,86
766,99.1,66
767,121.3,2
768,103.8,33
769,91.5,27
770,56.1,92
771,95.3,33
772,69.1,85
773,94.5,36
774,55.0,92
775,107.0,15
776,84.5,44
777,72.2,96
778,103.4,46
779,76.5,79
780,75.3,69
781,94.0,33
782,79.8,85
783,107.6,38
784,89.1,57
785,141.3,31
786,122.8,62
787,50.8,86
788,115.0,70
789,88.2,31
790,72.0,68
791,126.6,14
792,69.7,71
793,62.6,88
794,115.4,69
795,70.8,94
796,70.3,38
797,115.3,3
798,105.2,48
799,101.9,45
800,101.3,54
801,119.6,1
802,63.8,72
803,111.0,75
804,94.9,37
805,100.3,9
806,79.3,50
807,125.6,14
808,42.7,97
809,66.2,94
810,81.2,72
811,129.5,6
812,104.6,47
813,97.1,70
814,105.5,59
815,110.6,56
816,26.4,100
817,114.6,32
818,75.6,88
819,126.5,19
820,82.4,78
821,100.8,57
822,66.7,84
823,35.0,100
824,94.2,52
825,120.4,22
826,86.8,50
827,105.3,61
828,47.9,98
829,82.7,66
830,71.5,80
831,85.0,68
832,112.6,4
833,81.9,6
834,103.5,54
835,120.3,53
836,114.3,46
837,94.1,64
838,80.0,96
839,114.9,84
840,63.5,90
841,41.1,79
842,88.0,73
843,79.0,69
844,86.1,17
845,78.7,97
846,100.1,30
847,39.6,77
848,52.2,55
849,80.7,32
850,95.0,1
851,70.0,60
852,83.4,91
853,81.4,74
854,94.3,1
855,71.3,87
856,76.2,75
857,140.3,1
858,71.8,75
859,96.1,52
860,67.8,92
861,85.8,22
862,73.5,76
863,79.0,58
864,76.7,57
865,89.4,48
866,80.9,50
867,99.4,22
868,74.3,84
869,34.3,100
870,79.6,60
871,74.5,75
872,108.1,20
873,43.2,93
874,133.9,1
875,94.4,30
876,80.0,57
877,30.8,100
878,99.0,46
879,49.2,86
880,55.8,79
881,92.0,7
882,58.5,88
883,73.4,89
884,73.4,42
885,93.3,50
886,100.6,33
887,57.1,97
888,83.5,71
889,53.5,77
890,93.5,51
891,42.7,100
892,89.1,18
893,104.8,33
894,111.5,32
895,82.3,9
896,90.0,47
897,32.7,92
898,83.8,72
899,36.2,99
900,132.7,1
901,70.0,50
902,112.1,35
903,86.8,52
904,65.2,81
905,83.8,34
906,101.8,24
907,77.0,49
908,76.7,75
909,68.5,76
910,67.6,33
911,115.1,2
912,83.7,47
913,135.7,3
914,127.4,8
915,81.7,100
916,83.9,42
917,126.3,19
918,128.8,2
919,93.6,48
920,96.0,22
921,96.8,32
922,46.3,92
923,58.7,84
924,93.2,49
925,49.2,98
926,80.7,58
927,57.9,93
928,73.6,80
929,75.6,81
930,84.8,78
931,104.0,5
932,45.7,95
933,48.2,100
934,113.0,11
935,103.7,41
936,121.8,28
937,119.5,19
938,63.2,34
939,75.1,68
940,105.5,49
941,71.2,92
942,78.3,21
943,78.8,36
944,79.5,24
945,82.2,13
946,77.3,72
947,37.9,97
948,95.6,10
949,120.9,8
950,78.2,69
951,99.8,50
952,46.5,92
953,64.0,88
954,71.8,67
955,87.2,27
956,91.5,53
957,124.4,14
958,137.5,14
959,104.7,40
960,126.0,13
961,85.8,71
962,113.4,34
963,98.0,65
964,111.0,38
965,74.4,63
966,53.1,93
967,96.3,68
968,98.0,95
969,68.0,75
970,89.1,56
971,61.6,79
972,103.0,26
973,94.0,3
974,70.9,76
975,90.2,66
976,84.4,60
977,107.6,29
978,63.8,89
979,79.6,76
980,65.7,92
981,76.5,84
982,82.0,76
983,66.1,98
984,71.1,87
985,102.7,18
986,131.5,30
987,92.7,56
988,106.3,36
989,66.1,90
990,80.4,77
991,79.9,64
992,75.7,79
993,103.3,31
994,78.0,33
995,96.0,7
996,93.7,1
997,62.5,89
998,61.9,89
999,112.2,42
1000,74.8,57
1001,140.5,1
1002,86.5,39
1003,87.4,39
1004,86.7,77
1005,69.8,80
1006,102.6,41
1007,107.1,28
1008,64.6,32
1009,80.3,55
1010,91.9,25
1011,99.0,61
1012,69.9,49
1013,66.9,74
1014,94.5,59
1015,101.3,47
1016,83.7,54
1017,135.2,14
1018,109.2,46
1019,92.9,45
1020,107.5,51
1021,96.5,56
1022,96.5,82
1023,80.4,89
1024,67.8,74
1025,83.0,70
1026,82.3,76
1027,98.9,24
1028,72.2,35
1029,96.1,45
1030,71.6,60
1031,90.7,58
1032,98.9,24
1033,98.9,43
1034,76.5,56
1035,90.1,31
1036,98.9,24
1037,95.1,34
1038,108.2,46
1039,69.6,75
1040,85.2,70
1041,63.5,63
1042,71.7,88
1043,79.6,55
1044,108.5,40
1045,82.0,12
1046,62.0,67
1047,139.7,15
1048,87.9,2
1049,70.0,28
1050,84.4,84
1051,92.4,44
1052,99.6,45
1053,81.1,12
1054,107.2,13
1055,68.3,79
1056,77.3,51
1057,85.6,72
1058,94.4,11
1059,92.9,58
1060,143.9,11
1061,121.3,15
1062,92.7,48
1063,75.8,38
1064,64.1,72
1065,67.6,87
1066,69.7,89
1067,111.4,45
1068,98.0,15
1069,110.0,31
1070,63.5,4
1071,122.5,44
1072,122.5,44
1073,63.5,26
1074,95.9,60
1075,82.2,37
1076,63.5,9
1077,29.4,90
1078,63.5,1
1079,63.5,6
1080,63.5,4
1081,99.9,1
1082,109.4,29
1083,96.9,6
1084,52.8,82
1085,70.6,61
1086,107.2,69
1087,137.4,4
1088,63.8,44
1089,54.4,99
1090,139.5,20
1091,64.4,48
1092,91.4,65
1093,91.2,48
1094,137.6,13
1095,124.2,28
1096,48.0,25
1097,43.0,92
1098,108.2,54
1099,89.7,13
1100,80.7,68
1101,72.4,32
1102,77.5,60
1103,82.9,44
1104,99.8,49
1105,82.7,45
1106,106.4,19
1107,67.9,72
1108,79.5,49
1109,64.1,92
1110,67.9,68
1111,82.4,53
1112,77.2,52
1113,96.2,60
1114,65.5,30
1115,79.7,62
1116,149.9,2
1117,96.0,23
1118,91.1,59
1119,113.5,43
1120,111.6,52
1121,123.0,4
1122,76.6,59
1123,38.6,100
1124,82.4,75
1125,97.0,49
1126,85.5,63
1127,39.5,100
1128,95.9,59
1129,97.9,48
1130,135.4,29
1131,97.9,70
1132,68.9,58
1133,44.5,99
1134,49.0,90
1135,90.0,35
1136,111.4,36
1137,63.0,94
1138,79.0,79
1139,40.4,99
1140,71.8,88
1141,108.8,59
1142,146.7,6
1143,83.2,77
1144,150.0,4
1145,147.2,8
1146,126.2,21
1147,104.7,39
1148,144.6,9
1149,96.1,57
1150,145.6,10
1151,130.1,15
1152,98.5,66
1153,143.3,5
1154,116.8,3
1155,122.1,33
1156,71.1,92
1157,79.7,34
1158,106.7,59
1159,102.8,49
1160,98.9,42
1161,86.7,56
1162,111.2,32
1163,128.6,14
1164,72.4,76
1165,51.1,97
1166,97.3,26
1167,84.0,47
1168,89.2,31
1169,100.7,46
1170,84.6,96
1171,115.4,6
1172,88.3,93
1173,111.3,76
1174,54.8,88
1175,95.6,38
1176,78.9,61
1177,101.5,24
1178,79.3,65
1179,46.3,49
1180,76.9,10
1181,142.2,1
1182,94.7,56
1183,79.8,50
1184,63.0,68
1185,43.4,96
1186,50.8,92
1187,62.8,79
1188,82.8,68
1189,49.2,97
1190,86.2,54
1191,59.8,67
1192,105.3,35
1193,113.6,30
1194,78.2,77
1195,102.5,7
1196,84.6,80
1197,61.7,67
1198,87.2,38
1199,125.0,1
1200,131.7,30
1201,102.2,42
1202,60.6,75
1203,46.9,94
1204,67.7,81
1205,76.8,75
1206,78.2,86
1207,72.3,66
1208,68.3,83
1209,98.7,37
1210,84.0,70
1211,70.1,80
1212,84.7,72
1213,85.7,81
1214,33.1,100
1215,102.7,23
1216,85.4,61
1217,70.5,55
1218,99.5,15
1219,64.6,84
1220,73.5,75
1221,96.5,56
1222,104.4,61
1223,86.0,66
1224,94.5,2
1225,90.6,16
1226,118.5,6
1227,47.6,65
1228,121.1,5
1229,81.0,49
1230,99.6,3
1231,91.6,36
1232,86.1,4
1233,55.9,75
1234,70.7,86
1235,86.0,6
1236,73.7,25
1237,68.0,68
1238,64.0,96
1239,74.2,58
1240,72.5,68
1241,82.6,80
1242,83.6,41
1243,111.3,34
1244,101.2,25
1245,86.9,13
1246,75.0,38
1247,84.5,28
1248,78.6,61
1249,74.4,51
1250,93.7,29
1251,79.7,34
1252,71.0,41
1253,87.4,47
1254,71.3,63
1255,86.4,57
1256,100.1,89
1257,122.9,30
1258,86.0,32
1259,66.5,65
1260,81.5,25
1261,71.5,92
1262,63.0,32
1263,150.0,16
1264,109.1,13
1265,72.4,77
1266,96.0,48
1267,122.4,49
1268,87.5,48
1269,72.0,78
1270,83.0,70
1271,152.7,13
1272,113.8,49
1273,111.8,48
1274,93.3,64
1275,131.9,3
1276,116.2,39
1277,117.3,10
1278,145.3,19
1279,94.4,70
1280,106.7,30
1281,128.2,18
1282,75.7,81
1283,45.8,100
1284,110.6,28
1285,88.8,42
1286,93.2,36
1287,78.6,73
1288,72.5,67
1289,61.6,83
1290,61.1,80
1291,76.8,41
1292,63.8,82
1293,74.5,76
1294,147.7,10
1295,46.8,98
1296,104.4,40
1297,58.6,86
1298,72.9,23
1299,80.2,65
1300,66.6,96
1301,77.9,67
1302,41.5,100
1303,82.4,80
1304,110.7,26
1305,78.4,76
1306,117.1,37
1307,124.2,33
1308,87.6,53
1309,85.6,83
1310,114.3,49
1311,74.6,85
1312,101.9,62
1313,104.0,12
1314,82.3,52
1315,89.4,55
1316,91.5,66
1317,82.4,61
1318,116.2,30
1319,132.1,7
1320,62.5,80
1321,55.4,83
1322,143.4,25
1323,67.8,60
1324,93.3,65
1325,109.7,21
1326,106.9,24
1327,116.9,19
1328,73.6,63
1329,115.9,20
1330,42.0,96
1331,79.6,69
1332,72.8,76
1333,70.7,82
1334,73.6,74
1335,87.6,57
1336,65.1,90
1337,76.2,65
1338,61.0,80
1339,94.1,47
1340,46.6,97
1341,82.9,61
1342,97.5,4
1343,61.0,96
1344,91.1,56
1345,83.4,20
1346,105.9,19
1347,99.2,57
1348,100.0,39
1349,103.8,17
1350,83.7,29
1351,28.6,99
1352,33.0,100
1353,40.8,77
1354,35.8,96
1355,85.9,62
1356,108.2,37
1357,75.3,74
1358,63.2,87
1359,75.9,73
1360,64.9,92
1361,84.6,78
1362,94.5,54
1363,90.6,69
1364,70.7,86
